Time,PCG,ECG
0.0,-126.0,0.001
0.0005,-306.0,0.02
0.001,-265.0,0.056
0.0015,-310.0,0.113
0.002,-300.0,0.209
0.0025,-332.0,0.353
0.003,-319.0,0.554
0.0035,-341.0,0.816
0.004,-333.0,1.141
0.0045,-331.0,1.519
0.005,-333.0,1.941
0.0055,-304.0,2.389
0.006,-303.0,2.846
0.0065,-253.0,3.291
0.007,-229.0,3.706
0.0075,-138.0,4.075
0.008,-122.0,4.389
0.0085,-36.0,4.639
0.009,-6.0,4.829
0.0095,82.0,4.962
0.01,98.0,5.049
0.0105,157.0,5.101
0.011,205.0,5.132
0.0115,274.0,5.147
0.012,293.0,5.144
0.0125,380.0,5.144
0.013,381.0,5.143
0.0135,435.0,5.142
0.014,451.0,5.141
0.0145,467.0,5.141
0.015,493.0,5.142
0.0155,480.0,5.141
0.016,463.0,5.143
0.0165,425.0,5.144
0.017,413.0,5.145
0.0175,391.0,5.146
0.018,372.0,5.149
0.0185,360.0,5.151
0.019,327.0,5.153
0.0195,327.0,5.155
0.02,303.0,5.158
0.0205,261.0,5.16
0.021,237.0,5.163
0.0215,179.0,5.164
0.022,174.0,5.165
0.0225,98.0,5.167
0.023,99.0,5.167
0.0235,26.0,5.169
0.024,25.0,5.168
0.0245,-57.0,5.169
0.025,-59.0,5.169
0.0255,-73.0,5.167
0.026,-104.0,5.166
0.0265,-122.0,5.166
0.027,-130.0,5.165
0.0275,-152.0,5.164
0.028,-121.0,5.162
0.0285,-143.0,5.163
0.029,-91.0,5.161
0.0295,-76.0,5.161
0.03,-21.0,5.16
0.0305,-1.0,5.16
0.031,52.0,5.161
0.0315,127.0,5.161
0.032,144.0,5.162
0.0325,225.0,5.163
0.033,250.0,5.165
0.0335,362.0,5.167
0.034,374.0,5.168
0.0345,411.0,5.172
0.035,463.0,5.173
0.0355,511.0,5.175
0.036,505.0,5.178
0.0365,571.0,5.18
0.037,567.0,5.181
0.0375,611.0,5.183
0.038,597.0,5.184
0.0385,622.0,5.186
0.039,606.0,5.185
0.0395,617.0,5.187
0.04,608.0,5.186
0.0405,586.0,5.185
0.041,555.0,5.184
0.0415,497.0,5.184
0.042,456.0,5.182
0.0425,396.0,5.181
0.043,334.0,5.179
0.0435,245.0,5.177
0.044,185.0,5.176
0.0445,131.0,5.174
