Time,PCG,ECG
0.0,350.0,0.002
0.0005,703.0,0.023
0.001,599.0,0.06
0.0015,638.0,0.119
0.002,591.0,0.217
0.0025,574.0,0.364
0.003,529.0,0.567
0.0035,525.0,0.829
0.004,496.0,1.153
0.0045,515.0,1.529
0.005,543.0,1.944
0.0055,601.0,2.384
0.006,622.0,2.829
0.0065,684.0,3.262
0.007,741.0,3.662
0.0075,799.0,4.016
0.008,856.0,4.316
0.0085,897.0,4.554
0.009,904.0,4.733
0.0095,884.0,4.856
0.01,862.0,4.936
0.0105,847.0,4.984
0.011,798.0,5.013
0.0115,716.0,5.025
0.012,620.0,5.022
0.0125,550.0,5.022
0.013,461.0,5.021
0.0135,431.0,5.021
0.014,414.0,5.019
0.0145,398.0,5.019
0.015,431.0,5.019
0.0155,474.0,5.018
0.016,507.0,5.019
0.0165,546.0,5.018
0.017,599.0,5.019
0.0175,636.0,5.019
0.018,652.0,5.02
0.0185,673.0,5.02
0.019,679.0,5.021
0.0195,690.0,5.021
0.02,685.0,5.023
0.0205,687.0,5.024
0.021,685.0,5.025
0.0215,637.0,5.026
0.022,511.0,5.027
0.0225,346.0,5.029
0.023,151.0,5.03
0.0235,-14.0,5.032
0.024,-130.0,5.033
0.0245,-189.0,5.036
0.025,-170.0,5.037
0.0255,-142.0,5.038
0.026,-78.0,5.039
0.0265,2.0,5.041
0.027,81.0,5.043
0.0275,130.0,5.045
0.028,162.0,5.045
0.0285,186.0,5.048
0.029,205.0,5.048
0.0295,206.0,5.051
0.03,196.0,5.052
0.0305,195.0,5.054
0.031,199.0,5.056
0.0315,197.0,5.058
0.032,206.0,5.06
0.0325,176.0,5.063
0.033,98.0,5.065
0.0335,25.0,5.068
0.034,-90.0,5.07
0.0345,-224.0,5.074
0.035,-307.0,5.075
0.0355,-341.0,5.078
0.036,-321.0,5.081
0.0365,-267.0,5.083
0.037,-170.0,5.084
0.0375,-72.0,5.087
0.038,43.0,5.088
0.0385,147.0,5.09
0.039,288.0,5.09
0.0395,363.0,5.092
0.04,362.0,5.093
0.0405,377.0,5.092
0.041,300.0,5.092
0.0415,112.0,5.092
0.042,-167.0,5.092
0.0425,-442.0,5.09
0.043,-695.0,5.089
0.0435,-895.0,5.088
0.044,-1028.0,5.087
0.0445,-1095.0,5.085
